oil,gold,copper
European natural gas prices fall to 18-month low as energy crisis ebbs,How many more US jobs will be lost as coronavirus spreads?   ,Glencore’s copper kingpin Telis Mistakidis to step down
US energy groups queue to go public as sector returns to favour,Coronavirus shutdowns cause glitches in gold market,Norilsk Nickel open to working with Kaz Minerals on Russia copper
UK financial watchdog hit with claim over prospectus climate risk disclosure,Gold/government stimulus: valuable insurance  Premium content,Glencore hits further turbulence in DRC
Why a deals boom is brewing in the US oil patch Premium content,Goldman Sachs tells clients it is time to buy gold,Copper conundrum: price plummets despite strong Chinese demand
Israel’s first crude oil exports to start from Energean project,Gold bars in short supply due to coronavirus disruption,Copper points to EM rebound
BP defends transition strategy after curbing retreat from oil and gas,Endeavour to merge with Semafo in C$1bn mining deal,Andrew Mackenzie is keen for the long haul at BHP Billiton
Ineos bucks energy crisis to secure €3.5bn for Europe petchem plant,Gold sell-off fails to dent investor enthusiasm,China’s Zijin pays $1.4bn for Nevsun Resources
Energy retailers grapple with PR crisis,Gold and platinum dive as investors dump liquid assets,Commodity prices suffer as emerging markets tumble
Cash-rich US oil producers hunt for deals after long M&A dry spell,Longing for swing time to end Premium content,Emerging markets: base wraith rise Premium content
Russia to cut oil output in response to price cap by west,Gold: a hedge against future policy misfires,Kaz Minerals declares surprise dividend after Russia mine purchase
What Big Oil’s bumper profits mean for the energy transition,"Gold and its miners, a productive gamble on uncivilised times",Copper hits 13-month low as dollar strengthens on EM sell-off
Fund managers: Amundi keeps Europe in the race for passive scale,What will ‘Super Tuesday’ mean for US investors?,Antofagasta/copper: CU later Premium content
"Putin has ‘lost energy war’, top trader claims as he ends high gas price bets",Gold surges on spread of coronavirus,Antofagasta warns on trade tensions as earnings fall
ExxonMobil boosts energy trading ambitions to compete against peers,"Prepare for pain, hope for relief Premium content",Can Mongolian copper power the green revolution?
Big Oil’s big profits need to be spent wisely,A fraying equity risk thesis Premium content,BHP ask Chilean government to mediate in Escondida pay dispute
BP’s shift leaves a bigger question on credibility than climate,Freeport says “now not the time” for deal with Barrick Gold,A copper-bottomed sign: why the metal is telling us to panic
BP: No longer ‘Beyond Petroleum’. Again. Premium content,Government bonds rally as concerns drip back into market,Kaz Minerals in $900m copper deal with Roman Abramovich
Investors back legal petition against Shell directors over climate goals,Barrick Gold tops forecasts and raises dividend as gold prices soar,Vedanta Ltd reports loss for copper unit
Energy giants’ earnings bonanza could be last hurrah,Negative-yielding debt sends investors scurrying into gold,Glencore reports higher output from key DRC asset
Why BP’s Bernard Looney changed his tune Premium content,Coronavirus/gold: lustrous haven Premium content,Chile is canary in copper mine as price of metal falls
TotalEnergies puts $4bn hydrogen investment with Adani on hold,Cautionary signs for bullish equity and credit investors Premium content,Checking up on Dr Copper
Equinor makes record $75bn profit during energy crisis,Scotland’s first commercial gold mine faces green opposition,Anglo American chief coy over Brazil copper find
Fall in petrol use in gas-guzzling US heralds shift for global markets,Bridgewater sees gold rallying as central banks ease,BHP makes final pay offer to workers at Escondida
BP: Looney leans in to a longer runoff for oil Premium content,Boohoo’s margin looks less sustainable than its business model,Metals traders look to 2015 playbook as China fears return
BP slows oil and gas retreat after record $28bn profit,Gold miner Centamin posts strong fourth quarter production,Rio Tinto sells Grasberg stake for $3.5bn
Iran’s ‘ghost fleet’ switches into Russian oil,Market fears fade after spike in US-Iran angst Premium content,Copper at lowest in a year as US tariffs hit metals prices
The jig is up for the Texas two-step,Gold: war bride Premium content,Copper hit by sell-off after mystery Chinese investor unwinds $1bn bet
Russia’s budget deficit soars as energy revenues slump by almost half,Oil slips and global stocks waver as investors reassess Iran fears,Copper and Aussie dollar highlight China’s slowing economy
"Breakdown of gas storage talks leaves UK exposed to price surges, say experts",Gold nears 7-year high as Iran tensions spark fresh market jitters,Glencore settles legal dispute with former Congo business partner
US companies say EU climate goals are deterring new gas deals,Investors take their measure of political risk Premium content,Glencore DRC judgment will jack up metals prices
Olive oil: crushed supply may be here to stay  Premium content,Newmont ups dividend by 79 per cent as gold prices surge,Copper jumps to four-and-a-half-year high on Chilean strike fears
EU agrees price caps on Russian oil products ,Gold funds dazzle in list of 2019’s top performers,"Copper rises above $7,000 a tonne on Escondida strike fears"
Ofgem ‘asleep at the wheel’ while suppliers fitted prepayment meters ,Wall Street hits fresh highs buoyed by trade hopes,Indian copper smelter shut after deadly protest
Adani/TotalEnergies: French company’s due diligence was inadequate Premium content,Centamin/Endeavour: pyramid scheme Premium content,End looms for key Vedanta unit after bloodshed
The push begins for a fossil fuel crackdown at COP28 Premium content,Endeavour Mining and Centamin deal moves closer,Indian state shuts down Vedanta copper plant
Share buybacks: welcome payments in a suspect currency,VanEck chief: I’ve become ‘an ETF guy’,Rio Tinto in talks over Grasberg exit
Shell: the big bet on natural gas is now paying off  Premium content,Centamin appoints new chairman as search for chief continues,Copper and cobalt markets at risk of supply disruptions
Shell is having a use-of-cash flow crisis,Barrick sells 90% stake in Senegalese gold mine to Teranga Gold,Polluter Norilsk Nickel forced to clean up its act
US Democrats face dilemma over drilling  Premium content,Centamin warns Endeavour bid fraught with risks,Mongolia arrests 2 former PMs linked to mining probe
Shell profits more than double to record $40bn,Centamin should Endeavour to listen to offer,Ivanhoe Mines says in ‘strategic discussions’ with mining companies
"Shell hit with damages claim by 11,000 Nigerians in UK High Court ",Endeavour bids £1.5bn for Centamin in gold dealmaking wave,"There is no shale oil for copper, Freeport’s Richard Adkerson says"
White House draws fire from climate groups over Alaska oil project,China’s Zijin agrees to buy Canadian gold miner for $1bn,China playbook is no help in this commodities cycle
Mexico’s Pemex issues $2bn bond with double-digit yield,Consolidation in gold industry resumes as Kirkland Lake approaches Detour,"Copper is still cheap, despite its surging price "
"Exxon: Big Oil should invest forward, not buy back Premium content",Gold is looking more and more attractive,Billionaire’s Ivanhoe Mines hit by DRC copper tax rise
Shell-chartered vessel boarded by Greenpeace activists,Wildcat Nigerian gold miners look to regulation in a post-oil future,Copper to keep its shine on upbeat outlook for industrial demand
Dispatch from the bustling Permian  Premium content,Gold payment start-up rescued by investors,Copper prices climb to highest level in 4 years
Chinese broker exposed by FT investigation into North Korea oil trade arrested,Gold slips as upbeat mood prevails in global markets,What to watch in metals market in 2018
ExxonMobil posts record $56bn profit ,Barrick hikes dividend on rising gold price,Chile’s miners bank on election favourite to ditch reforms
US jobs boom in the ‘busiest spot in the busiest oilfield’,Growth fears prompt exchange traded funds to pile into gold,BHP Billiton looks for next big copper project
Shell launches shake-up under new chief Wael Sawan,Safety nets pose puzzle to investors,Copper’s golden era
BP cuts long-term forecast for oil and gas demand ,Gold-backed ETFs surge to fresh high,Freeport-McMoran expects to agree deal terms with Indonesia over mine stake sale
Commodity trade costs surge as industry seeks up to $500bn in extra finance,China’s central bank continues to load up on gold,Copper price jumps on Freeport-Indonesia deal concerns
US stocks tick upwards to end week higher,Barclays launches first zero-fee gold investment product,Copper sell-off gathers pace as metals falter
Chevron profits slip as oil and gas prices fall,Centamin chief to depart after difficult year for gold miner,Higher copper prices boost Codelco profits even as output drops
Tullow Oil: the end of an era for exploration and production ,There’s no end in sight for soaring palladium prices,Copper prices surge to near three-year highs
Wall Street stocks rise after data show US economic resilience,Why Buffett is wrong to dismiss the benefits of gold,Indonesia takes majority stake in Freeport-McMoRan copper mine
Big Oil’s cash bonanza Premium content,Gold/Glint app: too high a bar Premium content,Indonesia strikes deal with Freeport over copper mine
Big Oil’s profits juggernaut on pace to slow but not stop,Gold app Glint collapses just months after fundraising,BHP spends $2.5bn to extend life of Chile copper mine
NYC pension schemes test support for climate action at bank meetings,Swiss gold exports to UK hit seven-year high in August,Copper hits fresh 2-year high on possible China scrap ban
Oilfield services groups cheer ‘structural upcycle’ after highly profitable year,Investors pull gold from Hong Kong as tensions rise,Copper prices leap to 2-year high on China import ban fears
Capricorn Energy directors quit en masse in victory for activist,Three JPMorgan metals traders charged with market manipulation,Investors bet on copper as electric car race hots up
Wintershall’s empty accounts expose plight of western companies still in Russia,Investors warn gold miners to keep lid on ambitions,China calls on domestic investors to boost commodity presence
EU/diesel: loss of Russian imports supportive for independent refiners   Premium content,Treasuries notch biggest weekly drop since 2016 as rotation hits,Metals prices tumble on doubts over US infrastructure plans
Abu Dhabi’s Adnoc and Gunvor extend talks to reach investment deal,Four ways to hold gold as a safe haven investment,Global investor sentiment will turn ultimately on China
Oil market braces for fresh turmoil as EU prepares to cut off Russian diesel,Gold investor group calls on mid-tier gold miners to merge,Chile’s Codelco vows to lead as copper industry faces pay battle
Dutch government aims to close Europe’s largest gasfield this year,"Gold price could smash records at $2,000, says Citi",BHP Billiton calls for “transformation” of Chile’s copper industry after mine strike
"UN climate summit host progress ‘insufficient’, science group says",Petropavlovsk looking to acquire Russian gold deposits,Steady recovery for copper as industry gathers in Chile
SLB: oil services group flexes pricing power Premium content,Royal Mint plans first stock exchange product with gold ETF ,"Xi visits Trump, copper in focus"
Harbour Energy: UK windfall tax has unintended consequences  Premium content,Investors pile into gold as trade conflict rumbles on,Fine wine and copper bound by China link
A plan to keep oil and gas dealmakers honest Premium content,A Chinese take on the gold standard,Copper concentrate supply hit by disputes in Chile and Indonesia
Oil price cap and falling cost of crude worry Kremlin,Reasons to be fearful about investing,Tailwinds building for copper after sluggish start to 2017
Chesapeake Energy offloads Texas oil acreage in pivot to natural gas,Rise in Indian financial literacy tarnishes appeal of gold,Are emerging markets entering a new virtuous cycle?
Harbour Energy to cut jobs after UK windfall tax,Tanzania clears Acacia to resume exports from largest gold mine,Freeport-McMoRan threatens to sue Indonesia over mine dispute
BASF/Russia: ending Faustian pact creates recurring costs for Germany Premium content,India one step closer to creating national gold exchange,Escondida strike raises broader supply fears for copper
US lithium supplies stuck in neutral,Photographer Lisa Barnard’s personal journey through the world of gold,China copper futures hit highest levels since 2014
"Global oil demand set to reach record high as China reopens, IEA says","Gold prices top $1,500 as haven rally accelerates",Copper hits highest point since 2015 as BHP declares force majeure on Chile mine
Nord Stream 2 investor to exit Russia,Central banks make record $15.7bn gold purchases,Copper stocks gain as BHP production halt fans supply concerns
Total signals $1bn hit from UK windfall tax,Gold sector M&A continues as Resolute Mining swoops,Copper price: lucky strike Premium content
What the end of the US shale revolution would mean for the world,Gold revival drives desire for precious metal ETFs,"Copper eyes $6,000 mark on strike worries"
Russia’s energy weapon fails to fire as required,ECB’s gold sales deal with European central banks lapses,LME volumes plunge as liquidity falls during Chinese new year
Will UK inflation data show the BoE’s strategy is paying off?,Gold price holds six-year high on Federal Reserve rate cut expectations,BHP slices full-year copper production forecast
US stockpiles natural gas as warm winter temperatures cut demand,Tumbling bond yields kindle investor demand for gold,Copper gains on weaker US dollar and supply fears
New COP28 president wants renewable energy generation to triple by 2030,Kazakh tycoon sells 22 per cent stake in gold miner Petropavlovsk,Copper industry uncertain ahead of key labour talks
The ‘olive’ finance debate is back  Premium content,Tanzania to inspect Acacia’s main gold mine as Barrick deadline looms,Copper sinks to 4-week low as inventories swell
Centrica forecasts near eightfold rise in earnings after energy prices soar,Gold heads for second-biggest drop of 2019 after jobs report,Goldman Sachs turns bullish on copper
The oil lobby’s 2023 priorities  Premium content,Gold-silver ratio: where eagles dare Premium content,Copper: red faced
Abu Dhabi oil chief appointed president of COP28 climate summit ,"‘Wave’ of M&A will hit gold mining this year, says Polyus",Copper: the commodities slouch that has found top gear
Saudi Aramco bets on being the last oil major standing,Gold sinks most since 2018 as easing trade tension knocks havens,Copper heads for highest close since July 2015
Trafigura sells stake in Rosneft-backed refinery in India,Gold rush 2.0: Jewellers mine mobiles for precious metals,Copper miners dig deep to meet tech-fuelled demand
Italy renews its ‘Mattei plan’ to develop energy ties to Africa,Offshore renminbi climbs as Trump and Xi agree to resume talks,Chinese copper smelter in high-voltage Hollywood deal
Scottish government lays out ‘fastest possible’ move away from oil and gas ,How will US jobs growth figures affect the Fed?,Freeport-McMoRan chief vows to complete debt reduction plan
"$100 a barrel oil looms again, analysts say  Premium content","With prices hitting a six-year high, should you invest in gold?",Copper has best week in five years
US greenhouse gas emissions rose again in 2022 despite climate goals,Gold on course for best month in three years,"Copper rallies above $6,000 a tonne"
Opec: the Mark Twain of cartels,Why gold still shines for some despite a difficult decade,Copper plays catch-up with November surge
Russia’s Lukoil sells Italian refinery to Israeli-backed private equity fund ,Gold pulls back as investors temper rate cut expectations,Trump spending plans help copper prices rise
Europe leads pack on LNG imports as global competition for fuel heats up,One haven that does glisten Premium content,Antofagasta sees short-term gloom over copper prices
Investors fret over Lula’s approach to Brazil’s state companies,Gold hits new 6-year high as dollar falls,Metals bounce may prove shortlived on US election risk
Shell expects $2.4bn hit from UK and EU windfall taxes,Gold and Treasuries rally as Trump announces new Iran sanctions,Gecamines vows to pursue dispute against Freeport
Eni calls for south-north energy axis between Europe and Africa,Acacia hits back at Barrick,Investors and traders dare to hope over metal prices
Equinor and RWE to build hydrogen-ready power plants,A rising central bank tide lifts all boats Premium content,Electric cars will influence demand for metals more than oil
The natural gas war premium is gone Premium content,Gold climbs to 6-year high as dollar weakens,Metal prices rally on China trading
US natural gas prices: warm New Year chills winter outlook for drillers Premium content,"Ready, set, go for the policy easing race Premium content",Copper falls on China trade activity concerns
A new world energy order is taking shape,Gold hits 5-year high on prospect of lower interest rates,"Copper, the global economic bellwether, hits a 2-month low"
Brussels plans energy market overhaul to curb cost of renewables,Gold: the buck stops here Premium content,Copper flashing red signals on China
Exxon and Chevron share $100bn in profit after surge in oil prices,S&P 500 hits record high as Fed sets pace for markets,Glencore bumps up copper production
Lula picks political ally as next Petrobras chief,Acacia Mining hits back at Barrick over criticism of mine plans,China’s stimulus-driven growth bolsters metal prices
Vitol sells stake in Russian Arctic development ,Barrick Gold seeks bid support from Acacia investors,LME dusts off red trading sofas in Essex for emergency switch
Climate risks gain corporate acknowledgment after SEC prodding,Chipmakers are cause for broader concern Premium content,Mounting copper stocks could weigh on price
Oil and gas stocks shine in miserable year for US equities,China gold reserves climb for sixth month in May,Copper touches 2-month peak as dollar eases
Exxon sues EU in move to block new windfall tax on oil companies,Gold prices hit 14-month high as rate cut bets jump,Commodities stage broad retreat on economic worries
"Banks are cutting loans to UK oil and gas producers, says energy industry",Gold ETFs boosted as investors seek safe haven assets,Copper drops back to Feb lows as stocks pile up
Quarter of Russian crude shipments in December have used western insurance ,Gold hits two-month high as stock markets fall,Sluggish Chinese manufacturing data weigh on commodity prices
Putin imposes oil ban on buyers complying with G7 price cap ,Gold will languish so long as US markets stay resilient,China’s iron and steel futures lead falls in commodities
Russian crude being shipped to India under G7 price cap,Gold groups eye consolidation to revive fortunes,China plays long game on cobalt and electric batteries
Lex hits and misses: rolling out a barrel of gaffes in commodities Premium content,Barrick Gold CEO defends Acacia buyout proposal,"Copper to remain weak, says mining chief"
Pipe or cable? Companies split on best way to transport European energy,Canada’s Barrick Gold makes buyout offer for Acacia Mining,Bad times send African borrowers back to the IMF
"Energy crisis is forcing climate targets off-track, JPMorgan says",Barrick/Acacia: prey tell Premium content,BHP to expand copper and oil exploration despite weak prices
Syria racked by fuel crisis ‘in worst year yet’,Canada’s Pure Gold to start trading on LSE,Chile: Turning copper into wine
HSBC’s oil-rig shaped financing hole Premium content,AngloGold Ashanti begins sale of final South African gold mine,World’s top copper producer bemoans spectre of speculators
EU energy regulator casts doubt on bloc’s ‘untested’ new gas price cap,Barrick chief executive Bristow targets $1.5bn in asset sales,Copper miners pin hopes on electric cars as China falters
Tesla share slide sends valuation below ExxonMobil,China’s central bank stocks up on gold as it seeks to diversify,China wants to buy more copper mines to secure its supply
Energy predictions for 2023 Premium content,Central bank buying gives gold market new lustre,China stockpiles intrigue copper market
Mercuria to become biggest shareholder in key UK gas producer,Centamin shares climb to top of FTSE 250 leaderboard,China’s $2bn of copper stocks spark debate
Capricorn/NewMed: better price would align stars for E&P deal Premium content,Miners slide as gold price hits lowest level of the year,China demand for copper forecast to slow
Activist investor demands shake-up at gas producer Capricorn Energy,"My First Million: Paul Tustain, founder of BullionVault",Commodities retreat weighs on miners
"Atiku Abubakar, Nigeria’s nearly man, eyes victory in sixth presidential contest",China increases gold holdings for fourth straight month in March,Reasons to be cautious over commodity optimism
Activist group Follow This launches climate campaign against Big Oil,Raising the bar into a safe haven,Copper rises to highest level in more than 3 months
Biggest US shale operator says more drilling would harm industry,"Gold loses some of its shine amid strong dollar, equity rebound","A requiem for Anglo American, the octopus of South Africa"
US to buy back oil for emergency stockpile after fall in price,Gold extends rally as growth concerns persist,Opinion on copper bends both ways as price buckles
Russian oil cap: a boon for Asian refineries Premium content,Is the gold rally over?,Freeport-McMoRan extends list of assets for sale
Fuel transfer from South to North Korea sheds light on sanctions evasion,China doubles down on gold in shift away from dollar,Commodities demand and China: an explainer
Windfall tax pushes Harbour Energy to snub North Sea licensing round,Barrick Gold drops $18bn hostile bid for Newmont,"Nickel, zinc and copper follow oil lower"
Wasted natural gas may hold the secret to solving the energy crisis Premium content,"Russian miner Polymetal expects earnings boost in 2019, chief says",Beijing moves to support copper producers
Petrobras defends decarbonisation strategy as political pressure rises,Newcrest shrugs off impact of consolidation in gold industry,Moffett departure closes turbulent year for Freeport
Vanguard spared ESG grilling in Texas after ditching green alliance,Acacia says spill at North Mara mine stopped,Miners swept up in commodities slump as Anglo shelves dividend
"BP, Repsol and Cepsa raided by Spanish investigators in petrol pricing probe",Newmont Mining says initial talks with Barrick ‘constructive’,Markets outlook 2016: Oil and mining companies hope worst is over
HSBC to stop new oil and gas project funding after backlash,Barrick’s biggest shareholder calls for JV with Newmont,Doctor copper loses barometer status
UK proposes ‘hydrogen ready’ boilers in homes from 2026,Newmont rejects $18bn hostile approach by rival Barrick,Gold hits five-year low despite terror tensions
Diesel: EU ban on Russian imports will keep black stuff scarce Premium content,Barrick chief Bristow rules out higher offer for Newmont,Chinese funds bet on lower metals prices
Insurance dispute blocking oil tankers in Turkish waters resolved,Key shareholder voices support for Barrick-Newmont deal,Fresh wave of selling engulfs oil and metals markets
A historic breakthrough for fusion energy Premium content,Barrick Gold launches $18bn hostile offer for Newmont ,Copper trades near six-year low
Europe may not find energy efficiency sexy — but it’s crucial,Newmont chief ready to discuss Nevada potential with Barrick Gold,Freeport cuts more US copper output
An earnings recession without an economic one Premium content,What is behind the recent gold rush?,LME invites China to have price-setting input
UK oil and gas licensing faces legal challenge from environment groups,Gold glitters on dovish signals Premium content,China not far from everyone’s minds at LME Week
Biden adviser calls Wall St opposition to shale drilling ‘un-American’,"South Africa’s Sibanye weighs slashing 6,000 jobs to stem gold losses",Rio Tinto vows to not cut copper output despite falling prices
"Solar power expected to surpass coal in 5 years, IEA says",China bulks up on gold reserves for a second consecutive month,Copper and aluminium battle it out for Chinese grid tenders
Gulf Arab states draw closer to China as Xi visits Riyadh ,Acacia returns to profit despite Tanzanian tax dispute,Copper cuts critical for Glencore revival
Putin threatens to cut oil output after G7 price cap,Barrick forms JV to hunt for big gold mines in the Guiana Shield,Copper: back to the future
Total loosens Russian ties with Novatek writedown,Wall St cautious as Amazon worry offsets strong data,Copper jumps after Chile earthquake temporarily stops mines
Spain and France say planned undersea pipeline will cost €2.5bn,Rising gold prices restore shine to mining sector,Copper buoyed by China’s import window
Why the price of oil has dropped despite new constraints on Russian supply,S&P 500 extends gain as Fed afterglow lingers,Metals climb on plans for output cuts
Western officials blame Turkey for oil disruption,Central bank gold-buying reaches half-century high,Copper shines on Glencore output cut plan
ExxonMobil: oil major is right to focus on pumping shareholder returns Premium content,Renminbi hits fresh 6-month high after dollar eases,Why the commodities super cycle was a myth
ExxonMobil announces $50bn buyback despite political backlash,GV Gold focuses on output in bid to move into Russia’s top five producers,Explainer: Why commodities have crashed
Fuel could soon become a deflationary force Premium content,Juan Guaidó urges UK to safeguard Venezuela’s gold,Kaz Minerals rallies after Kazakhstan currency move
Trafigura’s shareholders and top traders to split $1.7bn in payouts ,Palladium’s price strength risks becoming exhausted,Copper hits 6-year low as China equities drop
US fund managers cross Atlantic to buy European oil stocks,Gold Fields denies interest in AngloGold merger,Copper market buoyed by supply disruptions
Hungary scraps fuel price cap after drop in imports curbs supply,Wary investors are drawn to gold’s allure,Freeport considers cut in copper output amid difficult conditions
How a Russian oil tanker tried to conceal its location,Newmont to buy Goldcorp in $10bn gold mining tie-up,Junk bond yields for miners shoot higher
US and UK pledge to maintain high levels of LNG trade,Dollar struggles in face of cautious Fed,"Copper, gold and oil spur commodity rout"
Petrobras CEO to leave as Lula prepares to take office in Brazil,Gold: dig it Premium content,China’s Shanghai Chaos hits back at market rumours
Brent crude oil falls below $80 for first time since January,Gold lures investors as gyrating markets take shine off stocks,Copper hit by China equity swings
How the G7’s oil price cap blocked the Bosphorus,Investors flock to gold following sell-off,Chinese hedge fund Shanghai Chaos closes out copper short
Oil prices: bulls may get a last hurrah Premium content,Gold rises to highest level in 6 months amid stock sell-off,China’s low rates sound death knell for copper carry trade
Washington’s reassurance to Rome raises survival hopes for Italy’s biggest refinery,Gold rallies to 6-month high as investors flee stocks,Copper benefits from equity margin calls
US stocks stumble after hotter than expected services data,Global markets battered in wake of Fed meeting,Copper’s supply glut takes shine off short-term price outlook
Oil tanker jam forms off Turkey after start of Russian oil cap,Russia’s Polymetal sells Khakanja project to private buyers for $30m,Copper continues slide on weak China data
West tightens screw on Russia over energy,Markets predictions: 2019 to bring new level of uncertainty,Copper: quantum leap
The west’s messy Russian oil price cap begins to bite ,Palladium steals gold’s crown as most valuable precious metal,Copper rally halts on weak China demand
Trafigura secures $3bn loan facility to provide Germany with natural gas,Gold company Resolute Mining to seek UK listing,Commodity currencies hit as dollar rally gathers pace
Opec+ says it is ready to adjust oil output as Russia embargo looms,"London releases size of gold market for first time, trailing New York",Zijin strikes deals with western miners
Opec+ tipped to hold oil output levels steady,Russia’s Polymetal says production to slow amid asset sales,Norilsk Nickel looks to China with new copper mine
EU reaches deal to impose $60 cap on Russian oil exports,Gold eyes worst week in almost 3 months,Copper: doctor’s orders
Russia assembles ‘shadow fleet’ of tankers to help blunt oil sanctions,S&P 500 futures edge down as polls begin to close,Peru fails to dig its way out of deadlock amid mining unrest
‘We can’t take energy security for granted’: UK races to boost gas storage capacity,Barrick to sell unwanted mines to mid-tier gold companies after merger,Commodities bulls boosted by oil recovery
Shale pioneer Harold Hamm attacks US-Venezuela oil deal as ‘desperation’,Randgold profits jump 20% as shareholders set to vote on Barrick deal,Chile: Copper bottomed
Brussels seeks deal on $60 global price cap for Russian oil ,Central bank gold buying hits highest level since 2015,Copper producers position for price recovery
EU gas cap: plan creates more problems than benefits Premium content,Randgold ups dividend ahead of merger with Canada’s Barrick,Zambia proposes friendlier mining tax regime after protests
Price cap on Russian crude poses a conundrum for Opec+ Premium content,Your investments and how to navigate uncertain markets,China regulation is key to copper pricing
Lukoil resumes talks with US buyout group to sell Italian refinery,Largest Canadian gold miners report third quarter losses,Antofagasta sounds warning on Chile copper industry
Eased US sanctions on Venezuelan oil provide weak supply boost,Gold back in from the cold as markets buckle,Copper market divided as industry gathers in Chile
Eni in talks to buy Neptune Energy,Wall St under fresh pressure as chipmakers slide,Commodities Explained: Metals trading in China
The Future of Energy,Haven assets in demand as investors seek refuge from stock sell-off,Tough first quarter for commodities markets
Why has Europe struggled to agree on an energy price cap?,Acacia Mining threatens to sue over export dispute,Copper finance incentives hurt China demand
‘No going back’ to oil and gas despite new UK exploration licences,Hungary increases gold reserves tenfold,"Weaker dollar lifts copper above $6,000"
Developing countries fight for their right to fuel growth  ,Gold jumps most in nearly 2 year on safe-haven demand,Copper fate hinges on Chinese demand
Norway postpones new oil and gas exploration licences until 2025 ,Gold heads for its biggest one-day drop since August,Copper hits highest level since China fund attack
Qatar to supply Germany with LNG as EU seeks secure energy options,M&A offers chance to revive fortunes for gold investors,Commodity prices go back to basics
Centrica chief warns of more energy supplier failures this winter,Gold prices drop to 4-week low as dollar strengthens,Mongolia raises hopes over Oyu Tolgoi mine expansion
What the oil sell-off means for the shale patch Premium content,Central bank gold buying hits highest level in six years — Macquarie,Bearish bets on copper begin to fade
Can Europe keep the lights on?,Peter Hambro returns to Russian gold miner Petropavlovsk,London Metal Exchange rings the changes
Europe’s imports of Russian seaborne gas jump to record high,Gold loses appeal as Fed gets bullish on economy,Miners look to another round of spending cuts
Shell to buy Europe’s biggest biogas producer for €1.9bn,Newmont squashes Barrick Gold bid talk,Cost curves
The week that could unravel the global oil market,Unloved gold sector buoyed by Barrick- Randgold merger,Freeport McMoRan cuts spending as oil price drops
Lithuania proves prescient on risk of Russian energy,The odd couple that will lead the world’s new number one in gold,Zambia’s copper belt reels as price falls
EU races to settle differences over level of cap on Russian oil price,Gold drops by most in a month amid dollar strength,Marubeni halves profit forecast on $1bn writedown
Chevron to resume Venezuela oil production as US eases sanctions,Paulson launches gold investor alliance with Egypt’s Sawiris,Copper falls as LME inventories rise
COP27 delegates rubbed shoulders with energy executives ready to cut deals,Vanguard fund revamp the latest sign of apathy towards gold,China funds become new force in global commodity trade
US stocks post weekly gain on hopes ‘central bank storm’ will pass,RNC makes ‘find of the century’ in Australian Gold Fields  ,China funds bring Chaos to metals markets
Ofgem sets out plans to reform Britain’s energy market,US debt is going to crush us all (and gold is the answer),Chinese hedge funds drive copper plunge
Oil tankers/Ukraine: higher prices are routed in longer journeys Premium content,China’s Shandong Gold set for $1bn HK IPO to boost acquisition hunt,"Lord Copper deemed to have come a cropper, but only up to a point"
The clock is ticking on a Russian oil price cap Premium content,Gold producer Polymetal earnings surge 46% on production boost,Copper miners: panned
Ofgem urged to force UK energy companies to have internal auditors,Traders increase bets that gold has further to fall,Copper slumps on Chinese selling
"EU gas price cap would deliver $33bn blow to market, says ICE",Gold on track for worst week in 15 months,Copper slump heightens concern over state of mining sector
EU tells capitals to pace their spending during energy crisis Premium content,Gold hits 19-month low as dollar strengthens,Miners hit FTSE as copper prices slide
US stocks rise while oil prices steady,Gold hits lowest since Jan 2017 despite market jitters,Australian dollar hit by copper slump
EU’s proposed cap on gas prices labelled ‘a joke non-cap’,Why gold tells us this EM crisis is all about the dollar,China’s Maike says copper set to rebound
Russia threatens to restrict gas flows to western Europe via Ukraine,Gold hits lowest level since March 2017 despite Turkey fallout,Investors bet on copper price fall
Opec keeps the market on its toes Premium content,Randgold’s Tongon mine to restart in August,Miners face challenge tapping copper opportunities
"Saudi Arabia’s green agenda: renewables at home, oil abroad","Markets Live: Wednesday, 8th August, 2018",Copper declines as China demand weakens
Oil prices whipsaw after Saudi Arabia denies report on Opec supply boost,What could go wrong here?,Glencore forecasts copper deficit
Europe’s gas traders and exchanges warn of futures cap risks,Gold falls to lowest in a year,Antofagasta appoints Iván Arriagada Herrera as new mining chief
Sinopec secures one of biggest-ever LNG deals with Qatar,Gold demand slumps to lowest since 2009 – report,Sliding oil leads to commodity volatility
Colombia signals rethink on pledge to curb oil and gas exploration,New Petropavlovsk management lowers gold production guidance,Sharp fall in copper stocks points to rally
BP praises Biden climate law while expanding US shale operations,Gold investors frustrations erupt in Paulson fight,Strike action by miners boosts copper
US oil prices fall 10% in the week as demand worries rise,Gold sinks to 1-year low after upbeat Powell testimony,Figure from LME Sumitomo scandal returns
New England ‘importing European prices’ in looming gas supply crunch,Gold poised for weekly fall despite rising geopolitical jitters,Copper hopes ‘bright despite volatility’
QatarEnergy: the company behind World Cup host’s wealth ,Centamin says gold production fell by 25% in Q2,BHP Billiton leads miners’ retreat from supersizing
COP27 communications group lambasted over work for fossil-fuel industry ,Sibanye cuts gold production forecast by 6% after 21 deaths,China copper imports set to plunge
Germany warns of local oil shortages after EU ban on Russian imports,Petropavlovsk faces further management upheaval,Copper and zinc shrug off weak China data
UK hits energy companies with new windfall taxes,Deepening global trade war fails to stir gold investors,Antofagasta to split chairman and chief roles
