oil,gold,copper
European natural gas prices fall to 18-month low as energy crisis ebbs,How many more US jobs will be lost as coronavirus spreads?   ,Glencore’s copper kingpin Telis Mistakidis to step down
US energy groups queue to go public as sector returns to favour,Coronavirus shutdowns cause glitches in gold market,Norilsk Nickel open to working with Kaz Minerals on Russia copper
UK financial watchdog hit with claim over prospectus climate risk disclosure,Gold/government stimulus: valuable insurance  Premium content,Glencore hits further turbulence in DRC
Why a deals boom is brewing in the US oil patch Premium content,Goldman Sachs tells clients it is time to buy gold,Copper conundrum: price plummets despite strong Chinese demand
Israel’s first crude oil exports to start from Energean project,Gold bars in short supply due to coronavirus disruption,Copper points to EM rebound
BP defends transition strategy after curbing retreat from oil and gas,Endeavour to merge with Semafo in C$1bn mining deal,Andrew Mackenzie is keen for the long haul at BHP Billiton
Ineos bucks energy crisis to secure €3.5bn for Europe petchem plant,Gold sell-off fails to dent investor enthusiasm,China’s Zijin pays $1.4bn for Nevsun Resources
Energy retailers grapple with PR crisis,Gold and platinum dive as investors dump liquid assets,Commodity prices suffer as emerging markets tumble
Cash-rich US oil producers hunt for deals after long M&A dry spell,Longing for swing time to end Premium content,Emerging markets: base wraith rise Premium content
Russia to cut oil output in response to price cap by west,Gold: a hedge against future policy misfires,Kaz Minerals declares surprise dividend after Russia mine purchase
What Big Oil’s bumper profits mean for the energy transition,"Gold and its miners, a productive gamble on uncivilised times",Copper hits 13-month low as dollar strengthens on EM sell-off
Fund managers: Amundi keeps Europe in the race for passive scale,What will ‘Super Tuesday’ mean for US investors?,Antofagasta/copper: CU later Premium content
"Putin has ‘lost energy war’, top trader claims as he ends high gas price bets",Gold surges on spread of coronavirus,Antofagasta warns on trade tensions as earnings fall
ExxonMobil boosts energy trading ambitions to compete against peers,"Prepare for pain, hope for relief Premium content",Can Mongolian copper power the green revolution?
Big Oil’s big profits need to be spent wisely,A fraying equity risk thesis Premium content,BHP ask Chilean government to mediate in Escondida pay dispute
BP’s shift leaves a bigger question on credibility than climate,Freeport says “now not the time” for deal with Barrick Gold,A copper-bottomed sign: why the metal is telling us to panic
BP: No longer ‘Beyond Petroleum’. Again. Premium content,Government bonds rally as concerns drip back into market,Kaz Minerals in $900m copper deal with Roman Abramovich
Investors back legal petition against Shell directors over climate goals,Barrick Gold tops forecasts and raises dividend as gold prices soar,Vedanta Ltd reports loss for copper unit
Energy giants’ earnings bonanza could be last hurrah,Negative-yielding debt sends investors scurrying into gold,Glencore reports higher output from key DRC asset
Why BP’s Bernard Looney changed his tune Premium content,Coronavirus/gold: lustrous haven Premium content,Chile is canary in copper mine as price of metal falls
TotalEnergies puts $4bn hydrogen investment with Adani on hold,Cautionary signs for bullish equity and credit investors Premium content,Checking up on Dr Copper
Equinor makes record $75bn profit during energy crisis,Scotland’s first commercial gold mine faces green opposition,Anglo American chief coy over Brazil copper find
Fall in petrol use in gas-guzzling US heralds shift for global markets,Bridgewater sees gold rallying as central banks ease,BHP makes final pay offer to workers at Escondida
BP: Looney leans in to a longer runoff for oil Premium content,Boohoo’s margin looks less sustainable than its business model,Metals traders look to 2015 playbook as China fears return
BP slows oil and gas retreat after record $28bn profit,Gold miner Centamin posts strong fourth quarter production,Rio Tinto sells Grasberg stake for $3.5bn
Iran’s ‘ghost fleet’ switches into Russian oil,Market fears fade after spike in US-Iran angst Premium content,Copper at lowest in a year as US tariffs hit metals prices
The jig is up for the Texas two-step,Gold: war bride Premium content,Copper hit by sell-off after mystery Chinese investor unwinds $1bn bet
Russia’s budget deficit soars as energy revenues slump by almost half,Oil slips and global stocks waver as investors reassess Iran fears,Copper and Aussie dollar highlight China’s slowing economy
"Breakdown of gas storage talks leaves UK exposed to price surges, say experts",Gold nears 7-year high as Iran tensions spark fresh market jitters,Glencore settles legal dispute with former Congo business partner
US companies say EU climate goals are deterring new gas deals,Investors take their measure of political risk Premium content,Glencore DRC judgment will jack up metals prices
Olive oil: crushed supply may be here to stay  Premium content,Newmont ups dividend by 79 per cent as gold prices surge,Copper jumps to four-and-a-half-year high on Chilean strike fears
EU agrees price caps on Russian oil products ,Gold funds dazzle in list of 2019’s top performers,"Copper rises above $7,000 a tonne on Escondida strike fears"
Ofgem ‘asleep at the wheel’ while suppliers fitted prepayment meters ,Wall Street hits fresh highs buoyed by trade hopes,Indian copper smelter shut after deadly protest
Adani/TotalEnergies: French company’s due diligence was inadequate Premium content,Centamin/Endeavour: pyramid scheme Premium content,End looms for key Vedanta unit after bloodshed
The push begins for a fossil fuel crackdown at COP28 Premium content,Endeavour Mining and Centamin deal moves closer,Indian state shuts down Vedanta copper plant
Share buybacks: welcome payments in a suspect currency,VanEck chief: I’ve become ‘an ETF guy’,Rio Tinto in talks over Grasberg exit
Shell: the big bet on natural gas is now paying off  Premium content,Centamin appoints new chairman as search for chief continues,Copper and cobalt markets at risk of supply disruptions
Shell is having a use-of-cash flow crisis,Barrick sells 90% stake in Senegalese gold mine to Teranga Gold,Polluter Norilsk Nickel forced to clean up its act
US Democrats face dilemma over drilling  Premium content,Centamin warns Endeavour bid fraught with risks,Mongolia arrests 2 former PMs linked to mining probe
Shell profits more than double to record $40bn,Centamin should Endeavour to listen to offer,Ivanhoe Mines says in ‘strategic discussions’ with mining companies
"Shell hit with damages claim by 11,000 Nigerians in UK High Court ",Endeavour bids £1.5bn for Centamin in gold dealmaking wave,"There is no shale oil for copper, Freeport’s Richard Adkerson says"
White House draws fire from climate groups over Alaska oil project,China’s Zijin agrees to buy Canadian gold miner for $1bn,China playbook is no help in this commodities cycle
Mexico’s Pemex issues $2bn bond with double-digit yield,Consolidation in gold industry resumes as Kirkland Lake approaches Detour,"Copper is still cheap, despite its surging price "
"Exxon: Big Oil should invest forward, not buy back Premium content",Gold is looking more and more attractive,Billionaire’s Ivanhoe Mines hit by DRC copper tax rise
Shell-chartered vessel boarded by Greenpeace activists,Wildcat Nigerian gold miners look to regulation in a post-oil future,Copper to keep its shine on upbeat outlook for industrial demand
Dispatch from the bustling Permian  Premium content,Gold payment start-up rescued by investors,Copper prices climb to highest level in 4 years
Chinese broker exposed by FT investigation into North Korea oil trade arrested,Gold slips as upbeat mood prevails in global markets,What to watch in metals market in 2018
